MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2284605, y : 29.0088657, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2286448, y : 29.00854253, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.229382, y : 29.00886443, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2300087, y : 29.00883363, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2306353, y : 29.00880273, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2311513, y : 29.00878393, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2315362, y : 29.00880543, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2320768, y : 29.00876253, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2326461, y : 29.00832793, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2327894, y : 29.00781303, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2329409, y : 29.00724433, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2328918, y : 29.00648793, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.232685, y : 29.00535203, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2324551, y : 29.00534333, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2323364, y : 29.00534263, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2322197, y : 29.00533593, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2321029, y : 29.00533733, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2319862, y : 29.00532793, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2318644, y : 29.00532053, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2318052, y : 29.00532073, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2317459, y : 29.00532093, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2316867, y : 29.00531773, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2316258, y : 29.00531583, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2315687, y : 29.00531183, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2315099, y : 29.00530913, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2314504, y : 29.00530703, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2313908, y : 29.00530483, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2313317, y : 29.00530503, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2312726, y : 29.00530513, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2312132, y : 29.00530053, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2311537, y : 29.00529583, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2310869, y : 29.00529563, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.231034, y : 29.00528703, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2309114, y : 29.00528273, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.230797, y : 29.00527633, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2306774, y : 29.00526883, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2305671, y : 29.00527023, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2304422, y : 29.00525273, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2303844, y : 29.00524843, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2303266, y : 29.00524413, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2300955, y : 29.00522703, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2298643, y : 29.00520993, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.229402, y : 29.00517573, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2289397, y : 29.00514153, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2286612, y : 29.00536953, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2284564, y : 29.00571013, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2283172, y : 29.00638073, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2283704, y : 29.00710223, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2284011, y : 29.00766013, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.228483, y : 29.00810803, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2285649, y : 29.00855593, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2288004, y : 29.00865523, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 21, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2291875, y : 29.00867933, z : 0.0}
